OCCUPATION,SALARY,INSTALLMENT,TENOR,USIA,MERK,STATUS
O3,1896200,595000,24,44,SUZUKI,LUNAS
O3,2612800,464000,35,36,KAWASAKI,TARIKAN
O3,2093095,632000,23,40,KAWASAKI,LUNAS
O1,1380400,450000,35,62,KAWASAKI,LUNAS
O3,2370000,444000,36,53,SUZUKI,LUNAS
O2,1240000,404000,30,34,SUZUKI,LUNAS
O3,2396000,379000,36,48,SUZUKI,LUNAS
O3,1135000,348000,36,44,SUZUKI,LUNAS
O3,1826200,392000,35,42,SUZUKI,LUNAS
O3,4631200,650000,23,37,KAWASAKI,LUNAS
O3,1592700,466000,30,43,KAWASAKI,LUNAS
O3,1147000,379000,36,42,SUZUKI,LUNAS
O3,3640000,798000,12,39,HONDA,LUNAS
O3,2140000,389000,35,31,SUZUKI,TARIKAN
O2,1366670,459000,35,45,KAWASAKI,LUNAS
O3,2156800,700000,18,30,SUZUKI,LUNAS
O3,2730000,787000,17,37,YAMAHA,LUNAS
O2,2150350,650000,23,46,KAWASAKI,LUNAS
O2,1960000,412000,24,31,KAWASAKI,LUNAS
O2,1223415,392000,35,35,SUZUKI,LUNAS
O3,1273270,334000,36,52,SUZUKI,LUNAS
O3,921400,392000,35,43,SUZUKI,LUNAS
O4,5489600,1171000,11,51,KAWASAKI,LUNAS
O3,1196000,392000,35,42,SUZUKI,LUNAS
O3,1596000,464000,35,49,KAWASAKI,LUNAS
O2,1550000,464000,35,57,KAWASAKI,LUNAS
O3,1416666,414000,36,43,KAWASAKI,TARIKAN
O3,1327000,459000,35,49,KAWASAKI,LUNAS
O3,1220000,392000,35,38,SUZUKI,LUNAS
O2,1340000,424000,24,39,KAWASAKI,LUNAS
O3,1593750,450000,35,41,KAWASAKI,LUNAS
O3,1500000,498000,35,26,KAWASAKI,LUNAS
O3,1804320,479000,36,55,KAWASAKI,LUNAS
O3,2356000,473000,36,33,SUZUKI,LUNAS
O2,1176500,498000,35,52,KAWASAKI,LUNAS
O2,1545100,423000,29,34,SUZUKI,LUNAS
O2,833300,404000,36,29,KAWASAKI,LUNAS
O3,2418250,793000,12,50,SUZUKI,LUNAS
O2,1202640,388000,36,49,HONDA,LUNAS
O3,1940000,370000,36,50,SUZUKI,LUNAS
O2,6180000,360000,36,27,SUZUKI,LUNAS
O2,5000000,330000,36,49,SUZUKI,LUNAS
O3,1176250,389000,35,40,SUZUKI,LUNAS
O3,1401920,334000,36,39,SUZUKI,LUNAS
O2,1104144,348000,36,29,SUZUKI,LUNAS
O2,6511030,392000,35,32,SUZUKI,LUNAS
O2,887874,418000,24,43,SUZUKI,LUNAS
O3,1185000,389000,35,40,SUZUKI,LUNAS
O3,2230000,698000,18,47,SUZUKI,LUNAS
O2,1412400,416000,24,40,SUZUKI,LUNAS
O3,1372800,392000,35,38,SUZUKI,LUNAS
O3,954400,392000,35,57,SUZUKI,LUNAS
O3,1060000,303000,36,49,SUZUKI,LUNAS
O3,2011000,348000,36,60,SUZUKI,LUNAS
